short_name,age,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic,value_eur,predicted_value,value_gap
E. Zahavi,32,182,71,79.0,82.0,75.0,83.0,39.0,73.0,14000000,17735500.0,3735500.0
C. Nkunku,22,179,72,78.0,74.0,80.0,85.0,69.0,65.0,20500000,24187500.0,3687500.0
A. Tello,23,181,80,86.0,58.0,69.0,75.0,61.0,81.0,2500000,6125125.0,3625125.0
Iniesta,36,171,68,58.0,70.0,85.0,85.0,63.0,59.0,5500000,9098500.0,3598500.0
Sandro,24,175,71,67.0,75.0,65.0,77.0,30.0,63.0,5500000,9053500.0,3553500.0
D. Blind,30,180,72,54.0,65.0,81.0,78.0,83.0,73.0,18000000,21552500.0,3552500.0
Thiago Silva,35,183,79,59.0,54.0,72.0,71.0,86.0,78.0,11500000,15020000.0,3520000.0
Y. Chibsah,27,177,78,68.0,61.0,65.0,73.0,72.0,78.0,2700000,6211000.0,3511000.0
A. Oxlade-Chamberlain,26,175,70,79.0,74.0,78.0,83.0,67.0,73.0,14500000,18007500.0,3507500.0
O. Zinchenko,23,175,64,73.0,66.0,81.0,80.0,77.0,69.0,17500000,20977500.0,3477500.0
J. Córdoba,27,188,85,78.0,78.0,61.0,74.0,44.0,87.0,12000000,15461500.0,3461500.0
D. Szoboszlai,19,186,74,80.0,75.0,76.0,78.0,37.0,64.0,11500000,14952500.0,3452500.0
W. Khazri,29,182,76,71.0,79.0,76.0,79.0,42.0,67.0,7500000,10925000.0,3425000.0
A. Plea,27,181,79,73.0,83.0,77.0,79.0,39.0,74.0,17500000,20898000.0,3398000.0
U. Dávila,29,172,65,73.0,72.0,68.0,79.0,44.0,66.0,3000000,6395500.0,3395500.0
T. Ndombele,23,181,76,74.0,66.0,80.0,87.0,69.0,72.0,20500000,23885000.0,3385000.0
R. Centurión,27,174,65,91.0,70.0,69.0,84.0,40.0,67.0,9500000,12846500.0,3346500.0
Pepe,37,188,81,66.0,51.0,60.0,60.0,82.0,85.0,3600000,6916000.0,3316000.0
Felipe Anderson,27,175,70,89.0,75.0,78.0,86.0,55.0,60.0,18500000,21807500.0,3307500.0
M. Fabián,30,171,65,63.0,75.0,74.0,77.0,34.0,63.0,3800000,7082000.0,3282000.0
F. Gulbrandsen,27,175,79,86.0,70.0,58.0,75.0,36.0,77.0,2500000,5778750.0,3278750.0
M. Vecino,28,187,81,65.0,68.0,77.0,80.0,78.0,75.0,13000000,16267500.0,3267500.0
Parejo,31,182,74,50.0,83.0,90.0,81.0,71.0,69.0,33000000,36225000.0,3225000.0
Deulofeu,26,177,73,88.0,75.0,75.0,86.0,30.0,65.0,17500000,20708000.0,3208000.0
A. Vidal,33,180,75,65.0,79.0,79.0,78.0,83.0,86.0,15000000,18205000.0,3205000.0
L. Insigne,29,163,59,88.0,78.0,83.0,91.0,36.0,44.0,37500000,40695000.0,3195000.0
S. Nakajima,25,164,64,88.0,71.0,71.0,83.0,37.0,48.0,10500000,13649000.0,3149000.0
O. Mangala,22,178,78,72.0,51.0,71.0,76.0,69.0,69.0,4500000,7603000.0,3103000.0
S. Berghuis,28,182,75,80.0,80.0,83.0,82.0,36.0,64.0,18000000,21097500.0,3097500.0
M. Casco,32,170,69,88.0,73.0,75.0,81.0,71.0,81.0,8000000,11064000.0,3064000.0
L. Faravelli,27,177,73,84.0,70.0,69.0,73.0,70.0,75.0,2700000,5749000.0,3049000.0
H. Duljević,26,186,85,82.0,62.0,65.0,74.0,43.0,70.0,900000,3946875.0,3046875.0
M. Kruse,32,180,76,66.0,81.0,81.0,82.0,45.0,70.0,14000000,16991000.0,2991000.0
M. Suárez,32,183,75,76.0,77.0,76.0,82.0,45.0,74.0,8500000,11481500.0,2981500.0
T. Inui,32,169,69,80.0,71.0,75.0,84.0,46.0,53.0,8000000,10965000.0,2965000.0
Ai Kesen,30,180,77,83.0,80.0,73.0,79.0,48.0,78.0,12000000,14935500.0,2935500.0
G. Dzhikiya,26,188,86,82.0,53.0,61.0,64.0,78.0,81.0,10000000,12922000.0,2922000.0
G. Kondogbia,27,188,80,69.0,74.0,75.0,77.0,79.0,88.0,14000000,16900000.0,2900000.0
J. Brekalo,22,175,70,77.0,69.0,70.0,83.0,36.0,52.0,11000000,13869500.0,2869500.0
M. Valoti,26,187,76,64.0,61.0,73.0,74.0,47.0,43.0,1000000,3846750.0,2846750.0
L. Stindl,31,181,80,59.0,82.0,78.0,79.0,59.0,72.0,13000000,15830500.0,2830500.0
M. Musacchio,29,180,73,63.0,47.0,63.0,67.0,82.0,70.0,8500000,11293500.0,2793500.0
D. Sinkgraven,24,179,65,79.0,60.0,78.0,80.0,73.0,64.0,10000000,12790000.0,2790000.0
G. Pandev,36,184,75,44.0,74.0,71.0,79.0,37.0,50.0,1100000,3882750.0,2782750.0
A. Younes,26,168,71,74.0,58.0,69.0,86.0,37.0,55.0,7000000,9780000.0,2780000.0
Luiz Phellype,26,188,83,55.0,78.0,59.0,69.0,30.0,82.0,6500000,9280000.0,2780000.0
W. Sobota,33,175,60,82.0,64.0,67.0,75.0,46.0,54.0,525000,3269750.0,2744750.0
J. van Overeem,26,181,71,68.0,57.0,72.0,77.0,65.0,60.0,3700000,6440750.0,2740750.0
M. Dæhli,25,177,71,75.0,54.0,68.0,81.0,23.0,62.0,3900000,6638500.0,2738500.0
K. Toko-Ekambi,27,185,78,81.0,79.0,67.0,78.0,27.0,69.0,11000000,13712500.0,2712500.0
E. Lamela,28,184,80,75.0,78.0,80.0,83.0,55.0,71.0,15000000,17702500.0,2702500.0
C. Tévez,36,171,77,68.0,81.0,74.0,78.0,45.0,77.0,3700000,6400500.0,2700500.0
Dyego Sousa,30,190,82,57.0,77.0,61.0,74.0,30.0,81.0,7500000,10185500.0,2685500.0
M. Trésor,21,173,65,81.0,66.0,67.0,78.0,30.0,51.0,4600000,7282500.0,2682500.0
A. Rinomhota,23,175,72,80.0,52.0,60.0,71.0,70.0,76.0,2300000,4942000.0,2642000.0
N. Aké,25,180,75,74.0,53.0,70.0,71.0,81.0,76.0,14500000,17137500.0,2637500.0
F. Ribéry,37,170,72,74.0,74.0,82.0,86.0,30.0,53.0,6500000,9131500.0,2631500.0
O. Karafiát,25,182,74,74.0,52.0,68.0,68.0,71.0,73.0,2900000,5516000.0,2616000.0
L. Bonucci,33,190,85,60.0,58.0,69.0,70.0,87.0,77.0,18000000,20600000.0,2600000.0
J. González,21,175,62,71.0,58.0,66.0,73.0,70.0,67.0,2800000,5393500.0,2593500.0
B. Kadrii,28,177,71,85.0,71.0,62.0,74.0,52.0,75.0,2400000,4980250.0,2580250.0
G. Bonaventura,30,181,75,72.0,77.0,82.0,82.0,72.0,67.0,13500000,16075000.0,2575000.0
Renato Sanches,22,176,70,79.0,72.0,76.0,81.0,71.0,81.0,14500000,17075000.0,2575000.0
Clinton Mata,27,180,73,82.0,61.0,70.0,77.0,77.0,81.0,9500000,12067500.0,2567500.0
Marcos Llorente,25,184,74,84.0,74.0,79.0,81.0,78.0,82.0,27500000,30067500.0,2567500.0
C. Ferreira,20,175,69,76.0,70.0,74.0,74.0,52.0,63.0,3000000,5562500.0,2562500.0
Costinha,27,170,66,82.0,67.0,67.0,76.0,61.0,56.0,925000,3455000.0,2530000.0
A. Duncan,27,178,78,70.0,63.0,73.0,72.0,76.0,75.0,6500000,9013000.0,2513000.0
F. Vázquez,31,187,82,53.0,78.0,79.0,79.0,58.0,72.0,7500000,9996000.0,2496000.0
A. Saint-Maximin,23,173,67,93.0,70.0,72.0,88.0,25.0,63.0,20500000,22977500.0,2477500.0
Osvaldo Lodeiro,20,185,81,73.0,49.0,53.0,53.0,75.0,69.0,3900000,6376500.0,2476500.0
M. Sissoko,30,187,91,77.0,63.0,77.0,79.0,77.0,89.0,11500000,13972500.0,2472500.0
Marlos,32,174,76,80.0,78.0,78.0,86.0,47.0,69.0,14000000,16455000.0,2455000.0
Raúl Albiol,34,187,74,45.0,41.0,62.0,63.0,86.0,75.0,8000000,10427500.0,2427500.0
Borja Valero,35,175,73,42.0,69.0,84.0,81.0,66.0,57.0,3900000,6327000.0,2427000.0
Pedro León,33,183,73,58.0,77.0,87.0,78.0,45.0,58.0,7500000,9924000.0,2424000.0
S. Khedira,33,189,90,45.0,74.0,77.0,77.0,79.0,78.0,10500000,12915000.0,2415000.0
J. St. Juste,23,184,74,85.0,58.0,65.0,73.0,75.0,73.0,7000000,9407500.0,2407500.0
Z. Junuzović,32,172,72,71.0,73.0,77.0,81.0,63.0,71.0,6000000,8406500.0,2406500.0
Y. Yazıcı,23,185,74,66.0,74.0,77.0,78.0,47.0,71.0,10500000,12900000.0,2400000.0
V. Ayala,32,177,70,69.0,74.0,71.0,72.0,69.0,75.0,2000000,4387875.0,2387875.0
K. Volland,27,179,85,73.0,84.0,79.0,79.0,41.0,84.0,19000000,21385000.0,2385000.0
Matheus Cunha,21,183,76,79.0,79.0,72.0,84.0,32.0,70.0,16000000,18377500.0,2377500.0
S. Prcić,26,181,76,58.0,62.0,73.0,72.0,68.0,66.0,2800000,5169375.0,2369375.0
R. Nainggolan,32,176,65,71.0,80.0,80.0,83.0,83.0,81.0,20000000,22357500.0,2357500.0
R. Doan,22,172,70,75.0,69.0,71.0,78.0,39.0,57.0,6000000,8355000.0,2355000.0
Alex Pozo,21,173,62,73.0,69.0,67.0,74.0,66.0,45.0,2800000,5135875.0,2335875.0
Rosberto Dourado,20,175,70,77.0,57.0,74.0,76.0,82.0,68.0,17500000,19835000.0,2335000.0
K. Asamoah,31,173,75,71.0,68.0,76.0,79.0,77.0,72.0,7000000,9328000.0,2328000.0
L. Muriel,29,179,79,88.0,79.0,69.0,84.0,27.0,66.0,12500000,14793500.0,2293500.0
Hélton Celanova,28,180,92,53.0,76.0,60.0,66.0,22.0,73.0,3200000,5488000.0,2288000.0
S. Lammers,23,189,77,75.0,75.0,61.0,77.0,34.0,70.0,8000000,10280500.0,2280500.0
Allan,29,175,74,73.0,71.0,77.0,82.0,85.0,83.0,25000000,27270000.0,2270000.0
M. Jonjić,29,187,83,68.0,45.0,49.0,48.0,74.0,77.0,2600000,4856000.0,2256000.0
Carlos Fernández,24,186,72,69.0,78.0,63.0,77.0,27.0,71.0,11000000,13252500.0,2252500.0
R. Insigne,26,172,65,82.0,63.0,71.0,73.0,27.0,39.0,1300000,3544375.0,2244375.0
Marcano,33,189,77,65.0,46.0,60.0,59.0,84.0,76.0,8500000,10741500.0,2241500.0
S. Verdi,27,174,65,82.0,73.0,78.0,83.0,48.0,50.0,9500000,11735000.0,2235000.0
A. Martial,24,184,76,89.0,83.0,74.0,87.0,41.0,72.0,41000000,43235000.0,2235000.0
O. Trejo,32,180,79,70.0,70.0,71.0,75.0,64.0,76.0,1800000,4032625.0,2232625.0
F. Milo,28,183,72,79.0,60.0,64.0,75.0,63.0,73.0,900000,3130375.0,2230375.0
Melvin Parrela,20,188,88,71.0,70.0,70.0,72.0,80.0,83.0,12500000,14727500.0,2227500.0
Barrenetxea,18,175,74,81.0,66.0,62.0,79.0,24.0,52.0,5500000,7715375.0,2215375.0
R. Battaglia,28,187,79,65.0,67.0,67.0,73.0,77.0,78.0,6500000,8699500.0,2199500.0
A. Rebić,26,185,78,88.0,80.0,70.0,79.0,39.0,80.0,15000000,17180000.0,2180000.0
M. Bülter,27,188,85,79.0,73.0,66.0,74.0,48.0,73.0,4200000,6358125.0,2158125.0
A. Lookman,22,174,71,82.0,72.0,66.0,81.0,27.0,60.0,8500000,10653500.0,2153500.0
R. Boudebouz,30,177,74,68.0,76.0,78.0,78.0,40.0,58.0,7500000,9641500.0,2141500.0
W. Rooney,34,176,83,53.0,81.0,80.0,76.0,56.0,75.0,4500000,6638500.0,2138500.0
F. Chiesa,22,175,70,85.0,74.0,71.0,83.0,44.0,62.0,14500000,16620000.0,2120000.0
Vagner,24,169,67,90.0,71.0,61.0,74.0,29.0,54.0,1500000,3619750.0,2119750.0
L. Suárez,22,185,74,86.0,78.0,62.0,72.0,40.0,80.0,11500000,13616500.0,2116500.0
Lucas Pérez,31,180,73,77.0,82.0,75.0,78.0,32.0,69.0,11500000,13606000.0,2106000.0
Diogo Jota,23,178,73,83.0,77.0,71.0,84.0,53.0,77.0,20500000,22602500.0,2102500.0
Felipe Gedoz,26,177,79,82.0,72.0,68.0,74.0,36.0,67.0,3300000,5392125.0,2092125.0
Quaresma,36,175,67,74.0,72.0,81.0,83.0,24.0,62.0,4200000,6275500.0,2075500.0
S. Aydoğdu,29,180,72,64.0,64.0,71.0,74.0,68.0,62.0,2000000,4074250.0,2074250.0
Y. Carrasco,26,181,72,91.0,81.0,75.0,84.0,36.0,65.0,24000000,26065000.0,2065000.0
H. Çalhanoğlu,26,178,76,65.0,75.0,82.0,84.0,59.0,57.0,13500000,15560000.0,2060000.0
E. Elia,33,176,77,92.0,68.0,67.0,84.0,35.0,66.0,4700000,6759500.0,2059500.0
W. Bou,26,174,74,73.0,74.0,66.0,73.0,36.0,72.0,3700000,5747500.0,2047500.0
João Moutinho,33,170,61,56.0,75.0,86.0,83.0,72.0,66.0,15000000,17044000.0,2044000.0
R. Malinovskyi,27,181,79,70.0,79.0,81.0,78.0,66.0,79.0,14000000,16042500.0,2042500.0
R. Rodríguez,27,180,77,71.0,67.0,76.0,74.0,77.0,74.0,9000000,11039000.0,2039000.0
J. Allen,30,168,62,67.0,62.0,70.0,73.0,71.0,72.0,2900000,4912750.0,2012750.0
A. Taarabt,31,185,75,68.0,69.0,78.0,84.0,60.0,70.0,7500000,9501500.0,2001500.0
L. Mousset,24,184,80,80.0,75.0,55.0,74.0,25.0,68.0,7500000,9500500.0,2000500.0
A. Djiku,25,182,74,69.0,41.0,67.0,71.0,77.0,80.0,10000000,11997500.0,1997500.0
E. Brítez,28,180,78,72.0,49.0,58.0,66.0,74.0,79.0,3400000,5395500.0,1995500.0
Pimentiscinho,20,178,75,65.0,55.0,69.0,67.0,73.0,68.0,3100000,5087125.0,1987125.0
M. Moreno,26,172,65,89.0,67.0,71.0,84.0,59.0,59.0,8000000,9982500.0,1982500.0
M. Odubajo,26,177,72,81.0,56.0,62.0,68.0,68.0,68.0,1100000,3080125.0,1980125.0
Simy,28,198,84,59.0,74.0,44.0,59.0,29.0,78.0,2400000,4377125.0,1977125.0
C. Ansaldi,33,181,76,78.0,64.0,77.0,80.0,76.0,70.0,6500000,8470000.0,1970000.0
Matheus,37,175,68,87.0,75.0,64.0,79.0,36.0,65.0,3000000,4963750.0,1963750.0
J. Aribo,23,183,76,82.0,63.0,70.0,76.0,60.0,66.0,3300000,5243000.0,1943000.0
Patric,27,184,72,68.0,53.0,66.0,70.0,75.0,68.0,4300000,6235500.0,1935500.0
D. Wass,31,181,74,75.0,77.0,80.0,77.0,77.0,76.0,10500000,12435000.0,1935000.0
Paulao Junqueiras,20,193,96,38.0,77.0,51.0,62.0,27.0,71.0,2700000,4635000.0,1935000.0
Jailson Oliva,28,171,65,81.0,38.0,58.0,69.0,67.0,57.0,1500000,3418500.0,1918500.0
K. Adeyemi,18,177,68,88.0,68.0,63.0,75.0,23.0,54.0,2200000,4116500.0,1916500.0
P. Billing,24,197,80,57.0,69.0,71.0,72.0,78.0,82.0,9000000,10915000.0,1915000.0
Ivo Rodrigues,25,182,72,76.0,69.0,67.0,77.0,39.0,65.0,3800000,5709500.0,1909500.0
Jesé,27,178,78,73.0,68.0,69.0,77.0,25.0,58.0,3300000,5206250.0,1906250.0
L. Garritano,26,172,67,89.0,69.0,70.0,76.0,53.0,60.0,1300000,3203500.0,1903500.0
H. Wolf,21,179,68,78.0,67.0,67.0,77.0,34.0,60.0,5000000,6902500.0,1902500.0
R. Nelson,20,180,75,85.0,64.0,66.0,77.0,34.0,53.0,5000000,6882500.0,1882500.0
N. De la Cruz,23,167,65,86.0,76.0,76.0,81.0,64.0,66.0,13500000,15375000.0,1875000.0
Lucas Paquetá,22,180,72,75.0,74.0,75.0,81.0,59.0,75.0,10000000,11862500.0,1862500.0
Hugo Rubiães,24,175,75,67.0,61.0,61.0,70.0,75.0,66.0,3000000,4856500.0,1856500.0
D. Kreilach,31,186,78,50.0,73.0,69.0,70.0,64.0,83.0,2100000,3950500.0,1850500.0
C. Arboleda,28,173,64,81.0,56.0,69.0,74.0,45.0,66.0,1100000,2943625.0,1843625.0
A. Campbell,21,175,74,71.0,57.0,63.0,68.0,72.0,79.0,1600000,3441000.0,1841000.0
T. Kunimoto,22,174,70,79.0,65.0,72.0,77.0,43.0,68.0,2500000,4332000.0,1832000.0
Rochina,29,182,76,70.0,77.0,77.0,81.0,54.0,69.0,8500000,10330000.0,1830000.0
L. Torreira,24,168,65,74.0,67.0,75.0,79.0,79.0,74.0,21000000,22815000.0,1815000.0
A. Silva,30,178,68,88.0,65.0,73.0,78.0,67.0,74.0,6500000,8309500.0,1809500.0
A. Canelo,28,180,83,82.0,74.0,62.0,70.0,27.0,70.0,2400000,4199000.0,1799000.0
Rogerinho,33,176,70,81.0,68.0,66.0,77.0,35.0,64.0,1900000,3684875.0,1784875.0
A. Yarmolenko,30,190,83,65.0,80.0,77.0,80.0,42.0,68.0,8500000,10282000.0,1782000.0
M. Siopis,26,171,67,75.0,54.0,62.0,64.0,72.0,73.0,3500000,5282000.0,1782000.0
L. Barreiro Martins,20,174,65,71.0,51.0,61.0,74.0,67.0,54.0,1100000,2880500.0,1780500.0
Y. El Arabi,33,182,84,71.0,81.0,67.0,78.0,37.0,70.0,6500000,8267500.0,1767500.0
A. Sánchez,31,168,62,79.0,78.0,77.0,85.0,44.0,70.0,13000000,14765000.0,1765000.0
J. Léa Siliki,24,183,73,71.0,64.0,74.0,75.0,70.0,70.0,5500000,7260000.0,1760000.0
G. Bale,30,185,82,88.0,84.0,82.0,80.0,58.0,73.0,24500000,26260000.0,1760000.0
R. Jack,28,182,72,65.0,60.0,70.0,71.0,77.0,80.0,5500000,7255500.0,1755500.0
A. Gignac,34,188,89,67.0,83.0,74.0,74.0,43.0,83.0,9500000,11239000.0,1739000.0
M. Rojas,24,186,78,79.0,78.0,76.0,80.0,63.0,70.0,14000000,15737500.0,1737500.0
B. Mechele,27,190,79,62.0,35.0,47.0,57.0,81.0,77.0,8000000,9737000.0,1737000.0
J. Sosa,35,179,71,69.0,70.0,82.0,80.0,66.0,65.0,4300000,6030500.0,1730500.0
D. Asprilla,31,177,77,82.0,70.0,66.0,77.0,34.0,75.0,3500000,5230250.0,1730250.0
Matheus Pereira,22,181,68,69.0,59.0,67.0,77.0,35.0,58.0,2600000,4329125.0,1729125.0
L. Suárez,33,182,86,70.0,90.0,82.0,83.0,51.0,83.0,31500000,33225000.0,1725000.0
R. Ripart,27,181,73,71.0,73.0,66.0,71.0,60.0,75.0,2800000,4522000.0,1722000.0
P. Galdames,23,175,68,76.0,61.0,70.0,75.0,60.0,69.0,2300000,4002875.0,1702875.0
F. Acheampong,26,168,65,94.0,76.0,69.0,81.0,49.0,76.0,9500000,11202500.0,1702500.0
Vieiraldo Junior,28,180,79,68.0,45.0,62.0,67.0,73.0,78.0,2800000,4497000.0,1697000.0
Prazeracinho,20,172,70,78.0,69.0,77.0,80.0,45.0,54.0,11500000,13190000.0,1690000.0
Paulinho,25,168,58,71.0,71.0,74.0,76.0,38.0,64.0,1300000,2984500.0,1684500.0
Santi da Bruma,24,172,67,86.0,70.0,73.0,77.0,37.0,58.0,3500000,5182500.0,1682500.0
M. Rayhi,26,178,76,77.0,69.0,64.0,73.0,49.0,70.0,1100000,2779625.0,1679625.0
F. Bartels,33,176,69,69.0,69.0,72.0,79.0,44.0,48.0,2400000,4079250.0,1679250.0
K. Vogt,28,194,85,70.0,57.0,72.0,67.0,77.0,77.0,8000000,9667500.0,1667500.0
Gérson Noalha,28,178,76,76.0,76.0,58.0,75.0,31.0,68.0,3200000,4863500.0,1663500.0
A. Christiansen,30,174,75,75.0,72.0,72.0,78.0,65.0,74.0,6000000,7651000.0,1651000.0
M. Bešić,27,180,80,62.0,55.0,67.0,74.0,71.0,70.0,1800000,3449500.0,1649500.0
B. Dabo,28,186,81,61.0,67.0,71.0,73.0,73.0,77.0,3100000,4742500.0,1642500.0
Loren,26,188,82,73.0,81.0,60.0,77.0,36.0,74.0,13000000,14636000.0,1636000.0
O. Ejaria,22,186,74,71.0,63.0,69.0,82.0,65.0,63.0,6000000,7630000.0,1630000.0
D. Aleksić,29,182,75,72.0,71.0,72.0,74.0,35.0,71.0,3000000,4618500.0,1618500.0
J. Roussillon,27,175,80,88.0,65.0,74.0,80.0,76.0,76.0,14500000,16110000.0,1610000.0
A. Golovin,24,180,69,80.0,72.0,79.0,83.0,67.0,68.0,16000000,17605000.0,1605000.0
Vinícius,25,190,83,75.0,80.0,57.0,75.0,41.0,83.0,17000000,18602500.0,1602500.0
A. Harroui,22,182,76,74.0,65.0,66.0,73.0,61.0,75.0,1400000,2991750.0,1591750.0
S. Sturaro,27,181,80,68.0,67.0,70.0,72.0,75.0,75.0,3500000,5091500.0,1591500.0
R. Schmid,20,174,73,73.0,61.0,67.0,76.0,45.0,62.0,1300000,2887375.0,1587375.0
B. Raman,25,172,67,82.0,76.0,68.0,81.0,33.0,58.0,7000000,8585000.0,1585000.0
