short_name,age,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic,value_eur
Rodri,24,191,82,65.0,68.0,77.0,77.0,82.0,79.0,44000000
S. Gnabry,24,175,75,82.0,83.0,78.0,86.0,43.0,70.0,47500000
Ricardo Pereira,26,175,70,83.0,66.0,79.0,82.0,81.0,76.0,40500000
R. Lukaku,27,191,94,81.0,83.0,76.0,75.0,38.0,84.0,45000000
Luis Alberto,27,183,74,74.0,76.0,86.0,85.0,58.0,59.0,44000000
M. Icardi,27,181,75,73.0,85.0,65.0,78.0,36.0,68.0,45000000
H. Ziyech,27,181,65,80.0,76.0,87.0,84.0,50.0,66.0,44000000
Thiago Silva,35,183,79,59.0,54.0,72.0,71.0,86.0,78.0,11500000
D. Mertens,33,169,61,86.0,82.0,80.0,89.0,35.0,51.0,24000000
M. Pjanić,30,178,72,67.0,68.0,87.0,85.0,75.0,67.0,35500000
G. Wijnaldum,29,175,69,76.0,75.0,81.0,86.0,78.0,79.0,37000000
D. Godín,34,187,78,57.0,48.0,64.0,61.0,87.0,79.0,14500000
T. Alderweireld,31,186,81,63.0,55.0,72.0,67.0,87.0,79.0,28500000
L. Bonucci,33,190,85,60.0,58.0,69.0,70.0,87.0,77.0,18000000
M. Reus,31,180,71,80.0,86.0,84.0,85.0,45.0,63.0,34000000
K. Walker,30,183,70,92.0,63.0,76.0,77.0,80.0,82.0,30500000
Thiago,29,174,70,64.0,72.0,85.0,90.0,70.0,62.0,37000000
Parejo,31,182,74,50.0,83.0,90.0,81.0,71.0,69.0,33000000
C. Eriksen,28,181,76,72.0,81.0,88.0,81.0,53.0,63.0,39000000
Alex Sandro,29,180,80,81.0,65.0,77.0,80.0,81.0,81.0,31500000
Koke,28,176,77,67.0,75.0,85.0,81.0,76.0,80.0,38000000
L. Insigne,29,163,59,88.0,78.0,83.0,91.0,36.0,44.0,37500000
R. Mahrez,29,179,67,83.0,79.0,81.0,90.0,38.0,59.0,37500000
E. Haaland,19,194,88,84.0,87.0,63.0,76.0,43.0,85.0,45000000
L. Martínez,22,174,81,83.0,82.0,71.0,85.0,48.0,82.0,44500000
Oyarzabal,23,181,79,81.0,82.0,80.0,84.0,41.0,63.0,42500000
N. Süle,24,195,97,69.0,42.0,59.0,49.0,85.0,81.0,37500000
Arthur,23,171,73,66.0,73.0,82.0,87.0,75.0,71.0,41000000
L. Goretzka,25,189,76,78.0,78.0,80.0,82.0,77.0,85.0,39500000
Grimaldo,24,171,69,85.0,65.0,79.0,84.0,77.0,71.0,35500000
A. Martial,24,184,76,89.0,83.0,74.0,87.0,41.0,72.0,41000000
J. Brandt,24,185,83,81.0,78.0,82.0,87.0,51.0,66.0,40500000
K. Coman,24,179,75,93.0,76.0,77.0,87.0,29.0,59.0,40500000
J. Giménez,25,185,80,67.0,45.0,53.0,54.0,86.0,83.0,36000000
W. Ndidi,23,183,74,71.0,62.0,68.0,74.0,87.0,84.0,36500000
Saúl,25,184,76,68.0,79.0,79.0,81.0,78.0,79.0,38500000
S. de Vrij,28,189,78,68.0,41.0,62.0,68.0,86.0,75.0,30500000
L. Digne,26,178,74,78.0,69.0,80.0,79.0,80.0,76.0,31500000
R. Guerreiro,26,170,71,74.0,78.0,84.0,87.0,73.0,57.0,36500000
T. Partey,27,185,77,71.0,74.0,81.0,81.0,82.0,85.0,35000000
Alex Telles,27,181,71,85.0,74.0,83.0,81.0,79.0,76.0,31000000
M. Brozović,27,181,68,63.0,74.0,80.0,81.0,79.0,78.0,32000000
Fernandinho,35,179,67,64.0,72.0,78.0,78.0,85.0,79.0,9500000
Jesús Navas,34,172,60,87.0,69.0,79.0,83.0,80.0,58.0,11000000
Lucas Leiva,33,179,78,60.0,66.0,76.0,78.0,83.0,71.0,15000000
A. Witsel,31,186,81,63.0,73.0,81.0,79.0,82.0,82.0,23500000
Azpilicueta,30,178,77,67.0,55.0,77.0,72.0,84.0,76.0,24500000
Douglas Costa,29,172,70,93.0,73.0,79.0,91.0,43.0,59.0,30500000
Iago Aspas,32,176,67,82.0,85.0,78.0,86.0,35.0,63.0,25000000
J. Corona,27,173,62,84.0,68.0,78.0,88.0,77.0,60.0,32500000
I. Gueye,30,174,66,69.0,61.0,71.0,78.0,85.0,79.0,25500000
D. Alaba,28,180,78,77.0,70.0,81.0,79.0,83.0,76.0,27500000
Isco,28,176,79,68.0,75.0,82.0,90.0,59.0,59.0,31500000
Pizzi,30,177,72,75.0,78.0,83.0,83.0,65.0,68.0,29500000
W. Ben Yedder,29,170,68,84.0,83.0,77.0,87.0,39.0,63.0,31000000
J. Iličić,32,190,79,70.0,86.0,84.0,85.0,43.0,68.0,25000000
R. Jiménez,29,188,81,78.0,82.0,76.0,82.0,49.0,83.0,31000000
Felipe,31,190,83,62.0,41.0,58.0,61.0,86.0,86.0,23000000
N. Tagliafico,27,172,65,82.0,56.0,73.0,76.0,82.0,79.0,27500000
F. Valverde,21,182,78,86.0,74.0,78.0,79.0,77.0,80.0,36000000
M. Ødegaard,21,178,68,78.0,75.0,84.0,85.0,58.0,63.0,36000000
O. Dembélé,23,178,67,92.0,77.0,77.0,87.0,36.0,56.0,35500000
Gayà,25,172,66,84.0,61.0,78.0,80.0,79.0,70.0,30500000
J. Gomez,23,188,77,82.0,30.0,66.0,69.0,83.0,80.0,31000000
S. Bergwijn,22,178,78,87.0,79.0,78.0,85.0,39.0,72.0,34500000
F. Mendy,25,180,73,92.0,64.0,76.0,79.0,78.0,82.0,30500000
A. Wan-Bissaka,22,183,72,86.0,51.0,68.0,80.0,82.0,74.0,30500000
A. Hakimi,21,181,73,94.0,70.0,76.0,82.0,72.0,76.0,35000000
A. Romagnoli,25,188,78,70.0,40.0,56.0,69.0,85.0,78.0,30000000
D. Alli,24,188,80,72.0,80.0,79.0,83.0,71.0,79.0,34000000
D. van de Beek,23,184,74,70.0,80.0,78.0,78.0,72.0,80.0,33000000
D. Zakaria,23,190,80,83.0,64.0,75.0,77.0,81.0,85.0,30500000
Gabriel Jesus,23,175,73,85.0,82.0,72.0,87.0,42.0,71.0,34500000
S. Umtiti,26,182,75,66.0,62.0,69.0,69.0,83.0,79.0,28500000
M. Kovačić,26,176,80,75.0,69.0,83.0,88.0,69.0,70.0,31500000
João Cancelo,26,182,74,86.0,65.0,79.0,83.0,77.0,70.0,28000000
Nélson Semedo,26,177,67,92.0,57.0,69.0,82.0,77.0,76.0,28000000
M. Sabitzer,26,178,76,80.0,83.0,80.0,80.0,65.0,78.0,31000000
Diego Carlos,27,185,86,77.0,47.0,63.0,67.0,82.0,83.0,27000000
K. Manolas,29,189,83,82.0,25.0,42.0,60.0,85.0,79.0,24500000
J. Matip,28,194,90,60.0,46.0,68.0,68.0,85.0,78.0,25500000
Juan Bernat,27,170,67,81.0,64.0,79.0,83.0,76.0,67.0,25500000
N. Fekir,26,173,75,79.0,82.0,81.0,87.0,38.0,79.0,30500000
Z. Ibrahimović,38,195,95,52.0,88.0,77.0,79.0,34.0,77.0,9500000
João Moutinho,33,170,61,56.0,75.0,86.0,83.0,72.0,66.0,15000000
G. Higuaín,32,186,89,65.0,85.0,71.0,80.0,31.0,69.0,20500000
Renato Augusto,32,186,86,71.0,79.0,82.0,81.0,72.0,77.0,19500000
C. Vela,31,177,77,80.0,82.0,78.0,84.0,31.0,67.0,22500000
B. Matuidi,33,180,75,75.0,66.0,75.0,77.0,82.0,79.0,12500000
J. Vertonghen,33,189,86,58.0,62.0,72.0,71.0,85.0,78.0,12000000
G. Bale,30,185,82,88.0,84.0,82.0,80.0,58.0,73.0,24500000
Marcelo,32,174,75,79.0,73.0,80.0,88.0,76.0,76.0,16000000
R. Nainggolan,32,176,65,71.0,80.0,80.0,83.0,83.0,81.0,20000000
E. Banega,32,174,71,63.0,74.0,84.0,82.0,76.0,70.0,19500000
E. Džeko,34,193,80,59.0,84.0,71.0,75.0,46.0,73.0,13500000
A. Vidal,33,180,75,65.0,79.0,79.0,78.0,83.0,86.0,15000000
Yuri Berchiche,30,181,80,83.0,68.0,76.0,76.0,80.0,83.0,20500000
Fernando,32,183,76,66.0,62.0,74.0,73.0,82.0,82.0,17000000
K. Trippier,29,173,71,73.0,60.0,81.0,77.0,79.0,72.0,21500000
I. Gündoğan,29,180,80,66.0,74.0,84.0,84.0,72.0,71.0,25000000
Paulinho,31,183,80,72.0,82.0,77.0,82.0,80.0,85.0,22000000
Oscar,28,179,66,78.0,79.0,83.0,83.0,58.0,65.0,26000000
Coutinho,28,172,68,72.0,79.0,82.0,89.0,52.0,59.0,26000000
Muniain,27,170,66,81.0,75.0,80.0,87.0,51.0,60.0,27000000
A. Lacazette,29,176,77,76.0,82.0,75.0,84.0,46.0,75.0,26000000
W. Zaha,27,180,66,90.0,75.0,72.0,87.0,34.0,75.0,27000000
C. Aránguiz,31,171,70,60.0,72.0,82.0,81.0,78.0,73.0,19500000
D. Tadić,31,181,76,66.0,80.0,84.0,84.0,41.0,73.0,23500000
Sergi Roberto,28,178,68,77.0,63.0,81.0,78.0,77.0,73.0,22000000
F. Acerbi,32,192,88,62.0,50.0,62.0,63.0,86.0,83.0,16500000
Allan,29,175,74,73.0,71.0,77.0,82.0,85.0,83.0,25000000
Lucas Moura,27,174,70,92.0,78.0,72.0,87.0,43.0,67.0,27000000
T. Hazard,27,175,71,84.0,77.0,81.0,86.0,52.0,67.0,27000000
Portu,28,167,66,90.0,79.0,81.0,82.0,59.0,79.0,26000000
Jorginho,28,180,68,55.0,65.0,84.0,80.0,72.0,73.0,25500000
E. Višća,30,172,63,88.0,77.0,79.0,82.0,47.0,64.0,24500000
Gerard Moreno,28,180,77,76.0,84.0,76.0,80.0,46.0,73.0,27000000
F. Kostić,27,184,82,88.0,76.0,79.0,83.0,68.0,80.0,27000000
D. Zapata,29,189,88,75.0,81.0,59.0,78.0,37.0,83.0,26000000
Rafa,27,172,66,94.0,73.0,74.0,87.0,50.0,52.0,27000000
M. Acuña,28,172,69,76.0,74.0,82.0,86.0,78.0,82.0,22000000
Ronaldo Cabrais,28,177,75,88.0,77.0,83.0,84.0,35.0,72.0,26000000
Reguilón,23,178,68,85.0,55.0,73.0,78.0,78.0,70.0,27500000
Fabián,24,189,70,63.0,78.0,78.0,83.0,74.0,68.0,30000000
L. Hernández,24,182,76,77.0,54.0,70.0,71.0,83.0,79.0,26500000
Rúben Neves,23,180,80,61.0,75.0,84.0,77.0,71.0,73.0,29000000
G. Lo Celso,24,177,68,77.0,77.0,82.0,85.0,65.0,73.0,29000000
Marco Asensio,24,182,76,79.0,80.0,81.0,83.0,43.0,61.0,29000000
K. Laimer,23,180,72,85.0,68.0,78.0,78.0,80.0,77.0,26000000
H. Maguire,27,194,100,50.0,53.0,69.0,71.0,82.0,85.0,24000000
Anderson Talisca,26,190,80,80.0,82.0,81.0,83.0,54.0,75.0,27500000
A. Correa,25,171,70,84.0,80.0,75.0,87.0,54.0,70.0,28000000
N. Pépé,25,183,73,89.0,78.0,75.0,84.0,33.0,66.0,28000000
Marcos Llorente,25,184,74,84.0,74.0,79.0,81.0,78.0,82.0,27500000
E. Can,26,186,86,74.0,78.0,79.0,80.0,83.0,87.0,26500000
Morata,27,190,84,80.0,80.0,71.0,81.0,31.0,77.0,26000000
Gabriel Paulista,29,185,72,68.0,49.0,71.0,65.0,84.0,83.0,21000000
L. Ocampos,25,188,84,82.0,83.0,78.0,83.0,63.0,84.0,26500000
M. Ginter,26,191,86,61.0,58.0,70.0,65.0,85.0,78.0,23000000
D. Djené,28,178,72,72.0,37.0,62.0,61.0,84.0,80.0,21500000
Raúl Albiol,34,187,74,45.0,41.0,62.0,63.0,86.0,75.0,8000000
I. Rakitić,32,184,78,61.0,79.0,85.0,78.0,75.0,69.0,17000000
M. Özil,31,180,71,64.0,69.0,85.0,83.0,24.0,55.0,19500000
D. Payet,33,175,77,70.0,79.0,84.0,85.0,39.0,67.0,13500000
L. Bender,31,185,78,60.0,64.0,72.0,72.0,84.0,77.0,16000000
Willian,31,175,77,82.0,79.0,80.0,85.0,49.0,59.0,19500000
I. Perišić,31,186,80,79.0,81.0,78.0,78.0,62.0,76.0,19500000
J. Boateng,31,192,90,70.0,50.0,72.0,65.0,82.0,79.0,16500000
M. Arnautović,31,192,83,80.0,82.0,79.0,79.0,44.0,81.0,20000000
A. Kolarov,34,187,81,68.0,74.0,81.0,76.0,82.0,77.0,8000000
A. Ramsey,29,183,76,68.0,77.0,79.0,80.0,68.0,73.0,21500000
Canales,29,176,65,78.0,80.0,83.0,83.0,65.0,68.0,21500000
D. Blind,30,180,72,54.0,65.0,81.0,78.0,83.0,73.0,18000000
Mário Fernandes,29,187,80,82.0,61.0,74.0,79.0,79.0,79.0,18500000
Rodrigo,29,182,77,91.0,79.0,76.0,81.0,44.0,71.0,22000000
J. Rodríguez,28,180,75,53.0,86.0,85.0,86.0,50.0,63.0,22500000
Danilo Pereira,28,188,83,66.0,63.0,72.0,73.0,80.0,85.0,20000000
K. Bellarabi,30,184,81,90.0,76.0,74.0,85.0,34.0,72.0,21000000
F. Thauvin,27,179,70,82.0,80.0,81.0,82.0,41.0,68.0,23000000
Y. Carrasco,26,181,72,91.0,81.0,75.0,84.0,36.0,65.0,24000000
Q. Promes,28,174,72,89.0,80.0,79.0,82.0,46.0,71.0,22500000
M. Halstenberg,28,188,87,66.0,66.0,73.0,72.0,81.0,80.0,19000000
A. Kramarić,29,177,73,71.0,85.0,73.0,85.0,30.0,71.0,22000000
R. Gosens,25,183,76,83.0,74.0,78.0,77.0,77.0,80.0,24000000
Josué Chiamulera,28,185,80,78.0,43.0,56.0,64.0,85.0,79.0,19500000
João Félix,20,181,70,81.0,81.0,74.0,83.0,40.0,69.0,32000000
A. Davies,19,181,72,96.0,67.0,69.0,83.0,76.0,76.0,22500000
H. Aouar,22,175,70,76.0,75.0,80.0,84.0,66.0,69.0,26000000
Cucurella,21,172,66,81.0,67.0,78.0,80.0,73.0,74.0,26500000
Ferran Torres,20,184,77,82.0,76.0,78.0,80.0,34.0,64.0,26500000
Richarlison,23,181,71,83.0,78.0,72.0,81.0,50.0,80.0,25500000
M. Diaby,20,170,67,93.0,66.0,74.0,85.0,43.0,53.0,25000000
Gonçalo Guedes,23,179,68,87.0,79.0,76.0,81.0,36.0,69.0,24500000
C. Pulisic,21,177,69,89.0,70.0,72.0,85.0,37.0,59.0,24500000
Rúben Dias,23,187,82,65.0,38.0,54.0,59.0,83.0,84.0,22000000
Renan Lodi,22,173,68,84.0,67.0,76.0,81.0,75.0,75.0,21500000
Everton,24,174,72,86.0,75.0,73.0,85.0,32.0,60.0,24000000
T. Souček,25,192,86,65.0,69.0,73.0,73.0,80.0,83.0,21500000
M. Dembélé,23,183,74,81.0,79.0,62.0,76.0,30.0,83.0,23500000
T. Lemar,24,171,62,80.0,76.0,81.0,84.0,59.0,62.0,23000000
Y. Tielemans,23,176,72,64.0,78.0,82.0,79.0,69.0,71.0,23000000
J. Maddison,23,175,73,75.0,76.0,84.0,82.0,54.0,58.0,23000000
N. Keïta,25,172,64,71.0,73.0,76.0,87.0,65.0,66.0,22500000
L. Torreira,24,168,65,74.0,67.0,75.0,79.0,79.0,74.0,21000000
P. Kimpembe,24,189,80,73.0,39.0,67.0,67.0,82.0,84.0,21000000
B. Pavard,24,186,76,69.0,53.0,73.0,71.0,81.0,76.0,20500000
B. Chilwell,23,178,77,76.0,52.0,74.0,78.0,77.0,75.0,20500000
Raphinha,23,176,68,91.0,75.0,74.0,83.0,49.0,71.0,23000000
B. Mendy,25,185,85,80.0,54.0,77.0,77.0,77.0,77.0,19500000
A. Milik,26,186,78,68.0,85.0,64.0,76.0,39.0,73.0,22500000
Jonny,26,170,70,77.0,53.0,71.0,76.0,79.0,70.0,19500000
J. Correa,25,188,77,84.0,75.0,77.0,86.0,39.0,69.0,22500000
Iñaki Williams,26,186,79,94.0,79.0,72.0,78.0,39.0,81.0,22500000
D. Sánchez,24,187,79,74.0,45.0,56.0,65.0,82.0,81.0,20000000
A. Rüdiger,27,190,85,70.0,43.0,67.0,63.0,82.0,80.0,18500000
S. Haller,26,190,82,70.0,80.0,62.0,75.0,51.0,82.0,22000000
L. Shaw,24,181,75,78.0,53.0,74.0,78.0,80.0,78.0,19000000
Fred,27,169,62,79.0,71.0,79.0,83.0,75.0,70.0,19000000
Paco Alcácer,26,175,72,78.0,84.0,67.0,80.0,35.0,62.0,21000000
S. Savić,29,187,81,61.0,35.0,54.0,56.0,84.0,72.0,17000000
J. Martínez,27,170,69,89.0,80.0,61.0,79.0,25.0,75.0,21000000
A. Rabiot,25,192,80,72.0,74.0,78.0,79.0,77.0,79.0,21000000
M. Lazzari,26,174,67,89.0,62.0,77.0,82.0,54.0,63.0,21000000
Iniesta,36,171,68,58.0,70.0,85.0,85.0,63.0,59.0,5500000
Pepe,37,188,81,66.0,51.0,60.0,60.0,82.0,85.0,3600000
A. Gignac,34,188,89,67.0,83.0,74.0,74.0,43.0,83.0,9500000
H. Herrera,30,185,80,71.0,75.0,75.0,76.0,78.0,83.0,16500000
F. Ribéry,37,170,72,74.0,74.0,82.0,86.0,30.0,53.0,6500000
M. Hamšík,32,183,73,70.0,77.0,82.0,81.0,72.0,72.0,13500000
Marcano,33,189,77,65.0,46.0,60.0,59.0,84.0,76.0,8500000
S. Bender,31,186,81,66.0,52.0,63.0,60.0,84.0,77.0,13000000
Javi Martínez,31,192,86,37.0,55.0,69.0,63.0,84.0,80.0,13500000
S. Khedira,33,189,90,45.0,74.0,77.0,77.0,79.0,78.0,10500000
M. Kruse,32,180,76,66.0,81.0,81.0,82.0,45.0,70.0,14000000
Marlos,32,174,76,80.0,78.0,78.0,86.0,47.0,69.0,14000000
Taison,32,172,75,92.0,78.0,75.0,86.0,47.0,67.0,14000000
E. Salvio,29,172,68,86.0,76.0,73.0,84.0,58.0,69.0,17500000
Marcos Alonso,29,188,85,65.0,75.0,78.0,77.0,77.0,79.0,14500000
J. Cuadrado,32,179,72,89.0,72.0,78.0,88.0,72.0,64.0,11000000
T. Delaney,28,182,79,77.0,73.0,73.0,74.0,82.0,82.0,16000000
X. Shaqiri,28,169,72,78.0,77.0,80.0,83.0,46.0,67.0,18000000
K. Kampl,29,178,66,69.0,67.0,80.0,85.0,63.0,62.0,17000000
S. Coates,29,196,92,59.0,43.0,54.0,61.0,83.0,86.0,15000000
Jonathan Viera,30,171,67,81.0,75.0,81.0,82.0,63.0,69.0,17000000
Pablo Sarabia,28,174,70,73.0,76.0,82.0,83.0,57.0,57.0,18000000
S. Berghuis,28,182,75,80.0,80.0,83.0,82.0,36.0,64.0,18000000
K. Volland,27,179,85,73.0,84.0,79.0,79.0,41.0,84.0,19000000
Ismaily,30,177,86,82.0,64.0,74.0,81.0,75.0,75.0,14000000
M. Doherty,28,182,87,72.0,64.0,73.0,75.0,76.0,79.0,15000000
Felipe Anderson,27,175,70,89.0,75.0,78.0,86.0,55.0,60.0,18500000
T. Meunier,28,190,82,77.0,73.0,76.0,74.0,77.0,84.0,15000000
Suso,26,176,70,76.0,75.0,82.0,86.0,33.0,53.0,19000000
A. Florenzi,29,173,67,81.0,77.0,76.0,79.0,77.0,73.0,14500000
S. Arias,28,178,72,81.0,53.0,70.0,76.0,77.0,78.0,15000000
E. Zahavi,32,182,71,79.0,82.0,75.0,83.0,39.0,73.0,14000000
M. de Roon,29,185,76,64.0,68.0,72.0,72.0,82.0,80.0,15000000
I. Fernández,30,182,70,76.0,78.0,81.0,82.0,70.0,74.0,16500000
Capa,28,175,75,83.0,65.0,77.0,79.0,75.0,88.0,15000000
M. Politano,26,171,67,83.0,77.0,78.0,84.0,42.0,55.0,19000000
W. Weghorst,27,197,84,65.0,82.0,59.0,69.0,39.0,85.0,19000000
Adryan Zonta,28,172,68,93.0,66.0,75.0,76.0,72.0,77.0,15000000
Rosberto Dourado,20,175,70,77.0,57.0,74.0,76.0,82.0,68.0,17500000
Louri Beretta,28,188,83,78.0,84.0,62.0,72.0,33.0,71.0,18500000
Nuno Padrenda,24,180,75,82.0,73.0,77.0,82.0,52.0,70.0,19500000
Oswaldinato,28,184,79,76.0,81.0,67.0,77.0,20.0,78.0,18500000
Vinícius Jr.,19,176,73,95.0,69.0,71.0,87.0,29.0,66.0,27500000
N. Barella,23,175,68,78.0,67.0,79.0,82.0,74.0,72.0,20500000
N. Mukiele,22,187,84,83.0,42.0,69.0,72.0,80.0,77.0,18500000
M. Mount,21,178,70,74.0,77.0,79.0,80.0,48.0,61.0,21000000
T. Ndombele,23,181,76,74.0,66.0,80.0,87.0,69.0,72.0,20500000
Éder Militão,22,186,78,78.0,50.0,66.0,71.0,81.0,81.0,19000000
A. Saint-Maximin,23,173,67,93.0,70.0,72.0,88.0,25.0,63.0,20500000
Diogo Jota,23,178,73,83.0,77.0,71.0,84.0,53.0,77.0,20500000
Merino,24,189,83,70.0,76.0,78.0,82.0,77.0,78.0,20000000
M. Thuram,22,192,87,84.0,80.0,70.0,80.0,48.0,77.0,20500000
C. Nkunku,22,179,72,78.0,74.0,80.0,85.0,69.0,65.0,20500000
N. Vlašić,22,178,79,83.0,75.0,76.0,82.0,48.0,71.0,20500000
V. Tsygankov,22,175,71,85.0,73.0,78.0,80.0,45.0,57.0,20500000
Héctor Bellerín,25,178,74,85.0,51.0,70.0,77.0,76.0,65.0,17500000
Angeliño,23,175,69,73.0,66.0,80.0,81.0,75.0,72.0,17500000
L. Klostermann,24,187,88,84.0,51.0,66.0,71.0,82.0,77.0,18000000
Dani Ceballos,23,179,68,69.0,70.0,79.0,83.0,69.0,70.0,19500000
O. Zinchenko,23,175,64,73.0,66.0,81.0,80.0,77.0,69.0,17500000
L. Bailey,22,178,79,94.0,76.0,73.0,83.0,33.0,64.0,20000000
C. Söyüncü,24,185,82,69.0,46.0,60.0,67.0,80.0,80.0,18000000
L. Jović,22,182,85,75.0,81.0,68.0,80.0,29.0,74.0,20000000
T. Hernández,22,184,82,92.0,67.0,73.0,77.0,74.0,77.0,17500000
M. Arambarri,24,175,74,52.0,58.0,71.0,72.0,78.0,76.0,18000000
David Neres,23,176,66,86.0,73.0,73.0,86.0,36.0,65.0,20000000
M. Gómez,23,186,84,68.0,81.0,68.0,73.0,32.0,82.0,20000000
P. Højbjerg,24,185,84,61.0,70.0,76.0,75.0,77.0,80.0,17500000
V. Lindelöf,25,187,80,64.0,50.0,72.0,72.0,81.0,77.0,17000000
J. Stones,26,188,70,68.0,36.0,69.0,71.0,82.0,77.0,16500000
K. Zouma,25,190,95,67.0,51.0,61.0,56.0,80.0,84.0,16500000
J. Grealish,24,180,68,76.0,74.0,80.0,84.0,46.0,61.0,19000000
